Date,Genre,identifiant,nationalite_francaise,nationalite,annee_obtention_diplome,type_formation,filiere,situation_actuelle, tes-vous ‡ la recherche d un emploi depuis la sortie de l Ècole ? ,Depuis combien de mois Ítes-vous en recherche d emploi ? ,difficultés_recherche,autre_activite,statut_emploi,Avez-vous un statut de :,nature_contrat,duree_CDD,localisation_emploi,region_premier_emploi,pays_emploi,temps_partiel,temps_partiel_voulu,mois_emploi_occupe,nom_entreprise,taille_entreprise,appartient_groupe,nom_groupe,fonction_principale,intitule_poste,statut_cadre,secteur_activite_entreprise,domaine_entreprise,domaine_divers,langage_info,Vos activitÈs actuelles font appel ‡ vos compÈtences en,energie_renouvelable,salaire_annuel_brute_hors_prime,prime,salaire_annuel_avec_prime,responsabilite_hierarchie,responsabilite_budget,responsabilite_equipe,responsabilite_projet,fonction_international,langue_francais,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,Vous recherchez un autre emploi?,raisons_recherche_emploi,entreprise_developpement_durable,mission_developpement_durable,situation_sortie_polytech,refus_emploi,Concours prÈparÈ(s).1,DurÈe du contrat de volontariat (en mois).1,Pays ou territoire du volontariat.1,Nom et coordonnÈes de l entreprise partenaire.1,Le laboratoire est-il localisÈ?.1,RÈgion de localisation du laboratoire.1,Pays de localisation du laboratoire?.1,Lequel ou lesquels?.1,Le site web s il existe?.1,temps_trouve_premier_emploi,post_premier_emploi,nature_contrat_premier_emploi,Quelle fut la durÈe de votre CDD? ,condition_fin_premier_contrat,intitule_premier_emploi,localisation_premier_emploi,Dans quelle rÈgion?.1,pays_premier_emploi,nom_entreprise_premier_emploi,"Adresse ( numero, rue, avenue..)de l entreprise.1",Code postal de l entreprise.1,Commune de l entreprise.1,taille_entreprise_premier_emploi,premiere_entreprise_groupe,Lequel?.1,secteur_premiere_entreprise,anciennete_premier_emploi,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_hors_prime_premier_emploi,prime_premier_emploi,remuneration_annuelle_brute_avec_prime_premier_emploi,Les ÈlÈments suivants vous semblent-ils avoir jouÈ un rÙle dans votre recrutement sur ce 1er emploi? - Stage de 4Ëme annÈe,satisfaction_premier_emploi,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,projet_evolution_carriere,recommandation_polytech
10/01/2020 18:12,Homme,1782851145585420,Oui,,2017,Sous contrat d'apprentissage,MÈcanique Structures Industrielles (MSI - apprentissage),En activitÈ professionnelle,,,,Oui,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,A l'Ètranger,,GABON,Non,,0.0,TISSOT INDUSTRIE SAS,De 50 ‡ 249 salariÈ(e)s ,Non,,Production - Exploitation ,,Oui,MÈtallurgie et fabrication de produits mÈtalliques ‡ l'exception des machines et des Èquipements,,,,,,33000.0,Oui,65000.0,NON,OUI,NON,OUI,Oui,Quotidiennement,Rarement (quelques fois par mois),,Relations personnelles,Le contenu de la mission / poste proposÈ,oui,oui,4.0,4.0,3.0,3.0,5.0,3.0,Oui,Poste sur un projet particulier,PlutÙt d'accord,PlutÙt en dÈsaccord,activitÈ professionnelle,,,,,,,,,,,Emploi trouvÈ avant l'obtention de votre diplÙme,SalariÈ(e) du secteur privÈ (y compris structure associative),CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,"DÈmission, vous aviez une autre proposition de contrat",ChargÈ d'Ètudes,En France,Œle-de-France,,NOX I&P (entreprise fermÈe depuis),,94200,Ivry sur seine,De 50 ‡ 249 salariÈ(e)s ,Oui,NOX,"SociÈtÈs de conseil, bureaux d'Ètudes",1.0,Oui,Non,Apprenti(e) : EmbauchÈ(e) par l'entreprise d'apprentissage,Autre,34000.0,Non,34000.0,1.0,1.0,3.0,,," + k&euro,",Oui
11/01/2020 09:17,Femme,1793744700896510,Oui,,2017,Formation initiale (hors apprentissage),MatÈriaux (MAT),En activitÈ professionnelle,,,,Non,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,En France,Occitanie,,Non,,25.0,Alten ,5 000 salariÈ(e)s ou plus,Oui,Alten ,"MÈthodes, contrÙle de production, maintenance",MÈthodes usinage sur site de production ,Oui,"SociÈtÈs de conseil ou d'ingÈnieurie, bureaux d'Ètudes indÈpendants",Divers,PositionnÈ sur tous les secteurs ,,,,32000.0,Oui,33000.0,OUI,NON,OUI,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,Site Internet spÈcialisÈ dans l'emploi (dont APEC),L'adÈquation avec un projet professionnel ,oui,oui,4.0,4.0,5.0,3.0,4.0,5.0,Non,,PlutÙt d'accord,PlutÙt en dÈsaccord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,Oui
11/01/2020 16:48,Femme,1889055177194690,Oui,,2017,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activitÈ professionnelle,,,,Oui,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,En France,Auvergne-RhÙne-Alpes,,Non,,6.0,SEGULA ENGINEERING FRANCE,5 000 salariÈ(e)s ou plus,Oui,SEGULA TECHNOLOGIES,Etudes - Conseil et expertise (autre qu'informatique),IngÈnieure environnement/hydrobiologiste,Oui,"Autres activitÈs spÈcialisÈes, scientifiques et techniques",,,,IngÈnierie / Ecologie|Hydraulique / Hydrologie,,34200.0,Non,34200.0,OUI,NON,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),Moins d'un mois,Relations personnelles,Le contenu de la mission / poste proposÈ,oui,oui,4.0,5.0,5.0,3.0,4.0,5.0,Non,,PlutÙt d'accord,PlutÙt d'accord,activitÈ professionnelle,,,,,,,,,,,De 2 ‡ moins de 3 mois,SalariÈ(e) du secteur privÈ (y compris structure associative),"CTT (contrat de travail temporaire, mission d'intÈrim)",0.0,Fin de contrat ou fin de mission,IngÈnieure environnement,En France,Auvergne-RhÙne-Alpes,,Centre d'IngÈnierie Hydraulique d'EDF,14 AllÈe du Lac de Tignes,7290,La Motte-Servolex,5 000 salariÈ(e)s ou plus,Oui,EDF,"…nergie (Production et distribution d'ÈlectricitÈ, de gaz, de vapeur et d'air conditionnÈ)",18.0,Non,Non,Relations personnelles,L'intÈrÍt du travail en lui-mÍme,35000.0,Non,35000.0,5.0,3.0,4.0,,,,Oui
10/01/2020 20:04,Femme,1782462668826500,Oui,,2017,Formation initiale (hors apprentissage),GÈnie Biologique et Agroalimentaires (GBA),En activitÈ professionnelle,,,,Oui,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,En France,Bourgogne-Franche-ComtÈ,,Non,,12.0,Erhard p‚tissier glacier ,250 ‡  4 999 salariÈ(e)s ,Non,,"Recherche-dÈveloppement, Ètudes scientifiques et techniques (autre qu'informatique)",Chef de projet R&D P‚tisserie et friture ,Non,Industrie agroalimentaire ,,,,,,32000.0,Non,32000.0,OUI,OUI,NON,OUI,Oui,Quotidiennement,Rarement (quelques fois par mois),De 2 ‡ moins de 3 mois,Site Internet spÈcialisÈ dans l'emploi (dont APEC),L'adÈquation avec un projet professionnel ,oui,oui,5.0,5.0,5.0,4.0,4.0,5.0,Non,,PlutÙt d'accord,PlutÙt d'accord,activitÈ professionnelle,,,,,,,,,,,Emploi trouvÈ avant l'obtention de votre diplÙme,SalariÈ(e) du secteur privÈ (y compris structure associative),"CTT (contrat de travail temporaire, mission d'intÈrim)",0.0,Fin de contrat ou fin de mission,Chef de projet R&D,En France,Bretagne,,PROVA sas ,,56370,Sarzeau ,De 50 ‡ 249 salariÈ(e)s ,Non,,Industrie agroalimentaire ,12.0,Non,Non,Stage de fin d'Ètudes,L'adÈquation avec un projet professionnel ,30000.0,Oui,34000.0,1.0,3.0,3.0,,,"Continuer en R&D 
 Puis d'ici quelques annÈe etre cadre ",Oui
10/01/2020 16:56,Homme,1777070157836320,Oui,,2017,Formation initiale (hors apprentissage),MicroÈlectronique Et Automatique (MEA),En thËse,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
22/01/2020 18:59,Femme,1776102123724400,Oui,,2017,Formation initiale (hors apprentissage),MatÈriaux (MAT),"En volontariat (VIE, VIA, Volontariat civil..)",,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activitÈ professionnelle,,,,,,,,,,,Emploi trouvÈ avant l'obtention de votre diplÙme,SalariÈ(e) du secteur privÈ (y compris structure associative),CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,DÈpart pour une filiale en VIE,IngÈnieur travaux,En France,Centre-Val de Loire,,SMAC OrlÈans,9 rue emile leconte,,IngrÈ,250 ‡  4 999 salariÈ(e)s ,Oui,SMAC,"Construction, BTP",27.0,Oui,Non,Stage de fin d'Ètudes,L'adÈquation avec un projet professionnel ,33600.0,Oui,36400.0,3.0,2.0,4.0,,,,Oui
10/01/2020 16:29,Homme,1783556163890680,Non,britannique,2017,Formation initiale (hors apprentissage),MatÈriaux (MAT),En thËse,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,chef R&D dans les bioplastiques secteur privÈ,Oui
10/01/2020 16:58,Homme,1793784758855770,Oui,,2017,Sous contrat d'apprentissage,MÈcanique Structures Industrielles (MSI - apprentissage),En activitÈ professionnelle,,,,Non,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,En France,Auvergne-RhÙne-Alpes,,Non,,25.0,Efor,250 ‡  4 999 salariÈ(e)s ,Oui,Efor ,"Recherche-dÈveloppement, Ètudes scientifiques et techniques (autre qu'informatique)",IngÈnieur rd consultant,Oui,MÈtallurgie et fabrication de produits mÈtalliques ‡ l'exception des machines et des Èquipements,,,,,,,Oui,,NON,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,,DÈmarchÈ(e) par un 'chasseur de tÍtes',Le contenu de la mission / poste proposÈ,oui,oui,2.0,3.0,3.0,,4.0,4.0,Non,,PlutÙt en dÈsaccord,PlutÙt d'accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
10/01/2020 16:54,Femme,1799420083152780,Oui,,2017,Sous contrat de professionalisation,GÈnie Biologique et Agroalimentaires (GBA),En activitÈ professionnelle,,,,Non,SalariÈ(e) du secteur public,Fonctionnaire,Titulaire de la fonction publique,0.0,En France,Œle-de-France,,Non,,15.0,DGCCRF (Direction gÈnÈrale de la concurrence de la consommation et de la rÈpression des fraudes),250 ‡  4 999 salariÈ(e)s ,Non,,DDPP (Direction dÈpartementale de la protection des populations),Inspecteur spÈcialisÈ dans les produits alimentaires,Oui,Industrie agroalimentaire ,,,,,,,,,NON,NON,NON,OUI,Non,Quotidiennement,TrËs rarement,Emploi trouvÈ avant l'obtention de votre diplÙme,Concours,Le contenu de la mission / poste proposÈ,oui,oui,5.0,4.0,5.0,4.0,4.0,2.0,Non,,PlutÙt en dÈsaccord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Inspecteur principal (fonction managÈriale),Oui
10/01/2020 16:38,Femme,1788516703227880,Oui,,2017,Sous contrat de professionalisation,GÈnie Biologique et Agroalimentaires (GBA),En activitÈ professionnelle,,,,Oui,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,En France,Occitanie,,Non,,6.0,Alten Sud Ouest,250 ‡  4 999 salariÈ(e)s ,Oui,Alten,Production - Exploitation ,Aircraft Manager,Oui,"Industrie automobile, aÈronautique, navale, ferroviaire",,,,,,30000.0,Oui,31000.0,NON,NON,OUI,OUI,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),,"RÈseau social professionnel (viadÈo, Linkedln)",Le contenu de la mission / poste proposÈ,oui,non,4.0,4.0,5.0,2.0,5.0,5.0,Oui,MÍme secteur d'activitÈ mais avec une rÈmunÈration plus attractive.,PlutÙt en dÈsaccord,Pas du tout d'accord,Poursuite d'Ètudes (hors thËse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,devenir manager d'une Èquipe dans les 3 prochaines annÈes.,Oui
13/01/2020 22:17,Homme,1782336119224670,Oui,,2017,Formation initiale (hors apprentissage),MicroÈlectronique Et Automatique (MEA),En activitÈ professionnelle,,,,Oui,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,A l'Ètranger,,Suisse,Non,,10.0,Go Concept,250 ‡  4 999 salariÈ(e)s ,Non,,Informatique industrielle et technique ,IngÈnieur systËmes embarquÈs,Oui,"SociÈtÈs de conseil ou d'ingÈnieurie, bureaux d'Ètudes indÈpendants",,,C|CAPL,,,72540.0,Non,72540.0,NON,NON,NON,NON,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),6 mois ou plus,Site Internet spÈcialisÈ dans l'emploi (dont APEC),Le montant du salaire proposÈ ,oui,oui,4.0,5.0,5.0,5.0,4.0,4.0,Non,,PlutÙt d'accord,PlutÙt en dÈsaccord,activitÈ professionnelle,,,,,,,,,,,Moins d'un mois,SalariÈ(e) du secteur privÈ (y compris structure associative),CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,"DÈmission, vous aviez une autre proposition de contrat",IngÈnieur Model-Based Design,En France,Auvergne-RhÙne-Alpes,,Assystem,,,,5 000 salariÈ(e)s ou plus,Non,,"ActivitÈs juridiques, comptables, de gestion, d'architecture, d'ingÈnierie, de contrÙle et d'analyses techniques",17.0,Oui,Non,Site Internet spÈcialisÈ dans l'emploi (dont APEC),L'adÈquation avec un projet professionnel ,32500.0,Non,32500.0,2.0,3.0,4.0,,,Pour le moment c'est flou,Oui
