Genre,identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,Région de votre entreprise d'accueil,"Durant vos études, vous avez bénéficié d'aménagements de scolarité liés à un handicap, ou vous vous êtes déclaré en situation d'handicap auprès de votre établissement",filiere,situation_actuelle,"'Sans activité volontairement', merci de préciser :",Vous occupez plusieurs emplois?,en_recherche_emploi,refus_emploi,difficultes_recherche,Concours préparé(s),alternance,Durée du contrat de volontariat (en mois) ,Montant brut annuel HORS PRIME de l'allocation que vous percevez,Quel est le poste que vous occupez?,Votre courriel professionnel :,Quel est le nom de votre entreprise / projet?,Pays de localisation de la future entreprise?,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_premier_emploi,pays_localisation,Vous travaillez,mois_emploi_occupe,Combien de jours par semaine êtes-vous en télétravail ? ,nom_entreprise,"Adresse ( numero, rue, avenue..)de l'entreprise",Code postal de l'entreprise,Commune de l'entreprise, Son site internet?,Nombre de salarié(e)s de votre entreprise(cellei qui vous rémunère),entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,Quel est le secteur d'activité de votre entreprise (celle qui vous rémunère)?,domaine_general_entreprise,langage_programmation,emploi_lie_energie_renouvelable,salaire_annuel_brut,prime,salaire_annuel_brut_prime,responsabilite_hierarchie,responsabilite_budget,Responsabilités exercées [Vous avez la responsabilité fonctionnelle  d'une équipe ?],responsabilite ,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,Les éléments suivants vous semblent-ils avoir joué un rôle dans votre recrutement? [Stage de 5ème année /Contrat de professionnalisation],recherche_nouvel_emploi,raisons_recherche_emploi,situation_sortie_polytech,Concours préparé(s)5,Pays ou territoire du volontariat6,Nom et coordonnées de l'entreprise partenaire7,Le laboratoire est-il localisé?8,Région de localisation du laboratoire9,Pays de localisation du laboratoire?10,Lequel ou lesquels?11,Le site web s'il existe?12,temps_trouve_premier_emploi,post_premier_emploi,Aviez-vous un statut de :,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,Dans quelle région?13,nom_entreprise_premier_emploi,"Adresse ( numero, rue, avenue..)de l'entreprise14",Code postal de l'entreprise15,Commune de l'entreprise16,taille_entreprise_premier_emploi,premiere_entreprise_groupe,Lequel?17,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,Les éléments suivants vous semblent-ils avoir joué un rôle dans votre recrutement sur ce 1er emploi? [Stage de 5ème année/Contrat de professionnalisation],satisfaction_premier_emploi,La situation sanitaire a-t-elle eu un impact pour vous ?,Merci de préciser les raisons,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,Laquelle?,Souhaitez vous être informé sur l' association des diplômés de Polytech (Polytech Connect)?,recommandation_polytech
Homme,1788520719234030,Oui,,2018,Formation initiale (hors apprentissage),,Non,Informatique et Gestion (IG),En activité professionnelle,,Non,,,,,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,A l'étranger,,Belgique,À temps plein,1.0,5.0,CIRB,,1000,Bruxelles,,250 à  4 999 salarié(e)s ,Non,,Etudes et développement en systèmes d'information ,Analyste/Développeur,Non,Activités informatiques et services d'information (TIC services),,,,34000.0,Oui,42000.0,NON,NON,NON,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,,4.0,4.0,4.0,1.0,Non,,"Volontariat (VIE, VIA..)",,Belgique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail,4.0,OUI,NON,,Non,Oui
Homme,1775940934139300,Oui,,2019,Formation initiale (hors apprentissage),,,Informatique et Gestion (IG),En activité professionnelle,,Non,,,,,,,,,,,,Non,"Non salarié(e) (Chef d'entreprise, Profession libérale, Travailleur(se) indépendant(e), Freelance)",,,En France,Nouvelle-Aquitaine,,À temps plein,12.0,0.0,Alenvy,4bis route de latresne,33270,Bouliac,https://alenvy.fr,De 10 à 19 salarié(e)s ,Non,,Direction générale ,Associé gérant responsable de l'informatique et l'innovation,Oui,Commerce,,,,,Non,,OUI,OUI,OUI,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),Emploi trouvé avant l'obtention de votre diplôme,J'ai créé / repris une entreprise,J'ai créé / repris mon entreprise,oui,oui,5.0,5.0,4.0,3.0,5.0,5.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,4.0,OUI,NON,,Non,Oui
Femme,1768466560960410,Non,Tchèque,2018,Formation initiale (hors apprentissage),,Non,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,A l'étranger,,République tchèque ,À temps plein,26.0,0.0,"La Lorraine, a.s.",,27201,,,250 à  4 999 salarié(e)s ,Oui,La Lorraine Bakery Group,"Qualité, sécurité, sûreté de fonctionnement ",Spécialiste qualité ,Oui,Industrie agroalimentaire ,,,,17000.0,Non,17000.0,OUI,NON,OUI,NON,Oui,Jamais,Quotidiennement,Moins d'un mois,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,5.0,3.0,4.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,4.0,,,,Oui,Oui
Homme,1788753500531160,Non,Chinoise,2019,Formation initiale (hors apprentissage),,Non,Microélectronique Et Automatique (MEA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),36.0,A l'étranger,,Chine,À temps plein,11.0,6.0,"Hangzhou Xingxin Technology Co. , Ltd ",,310000,"hangzhou,chine ",http://www.phlexing.com,De 20 à 49 salarié(e)s ,Non,,Informatique industrielle et technique ,ingenieur logiciel,Non,Industrie des technologies de l'Information et de la Communication (TIC),,C++,,19125.0,Oui,22950.0,NON,NON,OUI,OUI,Non,,Souvent (plusieurs heures par semaine),,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,4.0,4.0,4.0,4.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,4.0,,,,Oui,Non
Homme,1968316584194070,Oui,,2019,Formation initiale (hors apprentissage),,Non,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) du secteur public,CDD (contrat de travail à durée déterminée),21.0,En France,Provence-Alpes-Côte d'Azur,,À temps plein,18.0,0.0,,,83300,Draguignan,,De 10 à 19 salarié(e)s ,Non,,Maîtrise d'ouvrage ,Chargé de projets,Oui,"Administration d'État, Collectivités territoriales, Hospitalière",,,,20820.0,Oui,26688.0,OUI,OUI,OUI,OUI,Non,Quotidiennement,Très rarement,,stage de fin d'études,Le secteur d'activité de l'entreprise,oui,oui,4.0,5.0,5.0,2.0,5.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,4.0,,,,,Oui
Femme,1788516594039430,Oui,,2020,Formation initiale (hors apprentissage),,Non,Microélectronique Et Automatique (MEA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),6.0,En France,Occitanie,,À temps plein,5.0,0.0,AFA Multimedia,24 avenur de la République,48100,Bourgs-sur-Colagne,https://afa-multimedia.com/, Moins de 10 salarié(e)s ,Non,,Communication ,Web developpeuse,Non,Industrie des technologies de l'Information et de la Communication (TIC),,"Java|""PHP, SQL, HTML, CSS""",,21024.0,Non,21024.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,Le secteur d'activité de l'entreprise,oui,non,5.0,5.0,5.0,4.0,5.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,3.0,,,,Non,Oui
Homme,1788410846393300,Oui,,2020,Formation initiale (hors apprentissage),,Non,Informatique et Gestion (IG),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps plein,3.0,2.0,Sonup,"Rond-point Benjamin Franklin, Montpellier (Cap Omega)",34000,Montpellier,http://www.sonup.fr, Moins de 10 salarié(e)s ,Non,,Etudes et développement en systèmes d'information ,Développeur full stack,Oui,Santé humaine et action sociale,,,,21600.0,Oui,21600.0,OUI,NON,NON,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),,Relations personnelles,Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,4.0,2.0,5.0,5.0,0.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Moins de propositions de recrutement|Moins d'offres d'emploi|Difficulté pour le stage de fin d'études,4.0,OUI,NON,,Oui,Oui
Femme,1782328943040360,Oui,,2020,Formation initiale (hors apprentissage),,Non,Mécanique et Interactions (MI),En activité professionnelle,,Non,,,,,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),3.0,En France,Occitanie,,À temps plein,2.0,0.0,La Valériane ,,34000,Montpellier,,De 10 à 19 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Assistante chef de projet R&D,Non,Autres secteurs ,,,,22200.0,Non,22200.0,NON,NON,NON,OUI,Non,Quotidiennement,Quotidiennement,Moins d'un mois,Site Internet spécialisé dans l'emploi (dont APEC),L'adéquation avec un projet professionnel ,non,oui,3.0,5.0,4.0,1.0,3.0,3.0,5.0,Non,,activité professionnelle,,,,,,,,,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur public,Agent contractuel,CDD (contrat de travail à durée déterminée),Fin de contrat ou fin de mission,Ingénieure en calcul scientifique,En France,Occitanie,CNRS ,,,,De 20 à 49 salarié(e)s ,Non,,Recherche-développement scientifique,3.0,Oui,Non,Stage de fin d'études,L'adéquation avec un projet professionnel ,,Non,,1.0,3.0,Oui,Recours au télétravail|Annulation d'embauche,5.0,,,,Oui,Oui
Femme,1782333639900130,Oui,,2020,Sous contrat de professionalisation,,Non,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),18.0,En France,Nouvelle-Aquitaine,,À temps plein,5.0,0.0,Roucadil,Za du haut agenais ,47500,Montayral ,http://www.roucadil.com,De 20 à 49 salarié(e)s ,Non,,Marketing,"Attachée marketing, communication, packaging et r&d",Non,Industrie agroalimentaire ,,,,23600.0,Oui,25600.0,NON,OUI,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,Stage année césure / Contrat de professionnalisation,L'absence d'alternative,oui,non,3.0,4.0,4.0,2.0,4.0,3.0,5.0,Oui,Se rapprocher de la Dordogne  Revenir au service R&D Avoir un meilleur salaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,3.0,,,,Oui,Oui
Homme,1889078511389260,Oui,,2019,Formation initiale (hors apprentissage),,Non,Mécanique et Interactions (MI),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,A l'étranger,,Espagne,À temps plein,16.0,0.0,Tecniforja,"Polígono Haizpea 902, sector 6",20150,Aduna,, Moins de 10 salarié(e)s ,Non,,Assistance technique,,Non,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,,,24000.0,Non,24000.0,NON,NON,NON,OUI,Oui,Rarement (quelques fois par mois),Rarement (quelques fois par mois),De 1 à moins de 2 mois,"Réseau social professionnel (viadéo, Linkedln)",L'absence d'alternative,non,oui,3.0,5.0,4.0,2.0,2.0,5.0,2.0,Oui,Mon emploi ne correspond pas au niveau du diplôme et mon chef est assez instable au niveau de l'humeur.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,5.0,,,,Non,Oui
Femme,1789198696637920,Oui,,2018,Formation initiale (hors apprentissage),,Non,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,Non,,,,,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,À temps plein,3.0,0.0,,,Le Pouzin,,,De 20 à 49 salarié(e)s ,Oui,,"Qualité, sécurité, sûreté de fonctionnement ",,Non,Industrie chimique,,,,24000.0,Oui,24600.0,NON,NON,NON,NON,Non,Quotidiennement,,,"Réseau social professionnel (viadéo, Linkedln)",Le contenu de la mission / poste proposé,non,oui,4.0,4.0,5.0,4.0,4.0,5.0,2.0,Non,,Poursuite d'études (hors thèse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,5.0,,,,Non,Oui
Femme,1794628360740710,Oui,,2020,Formation initiale (hors apprentissage),,Non,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,À temps plein,6.0,0.0,Bernard Royal Dauphiné,15 Route d'Allex ,26400,Grane,https://www.royal-bernard.fr/,250 à  4 999 salarié(e)s ,Oui,Terrena,Commercial(e) (dont ingénieur(e) d'affaire) ,Chef de secteur junior GMS,Non,Industrie agroalimentaire ,,,,24000.0,Oui,26300.0,NON,NON,NON,NON,Non,Quotidiennement,Jamais,,stage de fin d'études,L'adéquation avec un projet professionnel ,non,non,5.0,4.0,5.0,3.0,5.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,5.0,,,,Oui,
Femme,1788516762629580,Oui,,2020,Sous contrat de professionalisation,,Non,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,À temps plein,5.0,0.0,,,13200,,, Moins de 10 salarié(e)s ,Oui,Société Thomas,"Qualité, sécurité, sûreté de fonctionnement ",Assistante Qualité Environnement Biosud-Biocamargue (2 sociétés),Non,Industrie agroalimentaire ,,,,24600.0,Non,24600.0,,,OUI,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),Emploi trouvé avant l'obtention de votre diplôme,Stage année césure / Contrat de professionnalisation,Le lieu géographique ,oui,oui,4.0,5.0,5.0,3.0,4.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail,5.0,,,,Oui,Oui
Homme,1788753778509120,Oui,,2018,Sous contrat d'apprentissage,Occitanie,Non,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps plein,12.0,0.0,Ceneau,265 avenue de l'industrie ,34820,Teyran,https://ceneau.com/accueil.htm,De 10 à 19 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur en electronique,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,24606.0,Oui,26606.0,NON,NON,NON,OUI,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),,Relations personnelles,L'absence d'alternative,oui,oui,4.0,5.0,5.0,1.0,5.0,5.0,5.0,Oui,Je suis à l'écoute du marché car mon emploi me plait mais le salaire est trop bas.,"Volontariat (VIE, VIA..)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Missions modifiées|Mobilité géographique compliquée,4.0,,,,Oui,Non
Homme,1788577873211720,Oui,,2018,Formation initiale (hors apprentissage),,Non,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,Non,,,,,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps plein,21.0,0.0,Ceneau,,34820,Teyran ,,De 10 à 19 salarié(e)s ,Non,,Etudes - Conseil et expertise (autre qu'informatique),,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,25000.0,Oui,25000.0,OUI,,OUI,OUI,Non,Quotidiennement,Très rarement,,"Réseau social professionnel (viadéo, Linkedln)",,,,3.0,,,,,,,,,activité professionnelle,,,,,,,,,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),,CDI (contrat de travail à durée indéterminée),"Démission, sans autre proposition de contrat",,En France,Occitanie,,,,,,,,"Sociétés de conseil, bureaux d'études",8.0,Oui,,Candidature spontanée (hors candidature via un site Internet),Le lieu géographique ,,,,,,,,,,,,,
Femme,1782464491724120,Oui,,2020,Formation initiale (hors apprentissage),,Non,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,Non,,,,,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps plein,1.0,0.0,Cereg ingenierie,,34080,,,De 50 à 249 salarié(e)s ,Non,,Etudes - Conseil et expertise (autre qu'informatique),Ingénieure chargée de projet,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,25000.0,,25000.0,,,,,Non,Quotidiennement,,De 2 à moins de 3 mois,Relations personnelles,,oui,non,4.0,5.0,5.0,2.0,,5.0,,Non,,activité professionnelle,,,,,,,,,De 1 à moins de 2 mois,Salarié(e) du secteur privé (y compris structure associative),,CDI (contrat de travail à durée indéterminée),"Démission, vous aviez une autre proposition de contrat",Technicienne de laboratoire,En France,,,,,,,,,Santé humaine et action sociale,1.0,Non,Non,Relations personnelles,Autre,,,,,2.0,Non,,4.0,,,,Oui,Oui
Homme,1899261173133000,Oui,,2018,Formation initiale (hors apprentissage),,Oui,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,À temps plein,20.0,0.0,Cereg Ingénierie Alpes Côte d'Azur,,6370,Mouans Sartoux,http://www.cereg.com, Moins de 10 salarié(e)s ,Oui,CEREG,Etudes - Conseil et expertise (autre qu'informatique),Chargé d'affaires hydraulique,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,25154.0,Oui,25154.0,OUI,OUI,NON,NON,Non,Quotidiennement,Jamais,,stage de fin d'études,L'évolution futur de l'entreprise,oui,oui,5.0,4.0,5.0,2.0,5.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,5.0,,,,Non,Oui
Femme,1794779467201750,Oui,,2019,Sous contrat d'apprentissage,Auvergne-Rhône-Alpes,Non,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,À temps plein,9.0,0.0,Fruits & Compagnie,384 rue du beynon,5300,Ventavon,https://www.fruitsetcompagnie.fr/,De 10 à 19 salarié(e)s ,Non,,"Qualité, sécurité, sûreté de fonctionnement ",,Non,"Agriculture, sylviculture et pêche ",,,,25200.0,Non,25200.0,NON,NON,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),De 2 à moins de 3 mois,Site Internet spécialisé dans l'emploi (dont APEC),Le lieu géographique ,oui,oui,4.0,5.0,4.0,3.0,4.0,5.0,,Non,,activité professionnelle,,,,,,,,,Moins d'un mois,Salarié(e) du secteur privé (y compris structure associative),,CDI (contrat de travail à durée indéterminée),,,,,,,,,,,,,,,,,,,,,,,Non,,4.0,,,,Oui,Oui
Homme,1882421169245270,Oui,,2020,Formation initiale (hors apprentissage),,Non,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,À temps plein,5.0,5.0,Cereg Territoires,260 Avenue du Col de l'Ange,13420,Gémenos,,De 10 à 19 salarié(e)s ,Oui,Cereg,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur chargé de projet en hydraulique,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,25300.0,Oui,28000.0,NON,NON,NON,OUI,Non,Quotidiennement,Très rarement,,stage de fin d'études,"L'absence de choix mais surtout le cadre de travail (collègues, ambiance, localisation)",oui,oui,5.0,4.0,5.0,3.0,4.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,3.0,,,,Non,Oui
Femme,1856803862955290,Oui,,2019,Formation initiale (hors apprentissage),,Non,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Pays de la Loire,,À temps plein,18.0,1.0,La Boulangère & Co,PA la Mongie - 1 rue du petit bocage 85140 ESSARTS EN BOCAGE ,85140,Essarts en bocage ,http://www.laboulangere.com/,De 50 à 249 salarié(e)s ,Oui,Norac,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chef de projets ,Non,Industrie agroalimentaire ,,,,25800.0,Non,25800.0,OUI,NON,NON,OUI,Oui,Quotidiennement,Rarement (quelques fois par mois),Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,L'absence d'alternative,oui,oui,3.0,4.0,4.0,2.0,3.0,,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Mobilité géographique compliquée,4.0,,,,Oui,Oui
Femme,1788636474868090,Oui,,2020,Formation initiale (hors apprentissage),,Non,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Hauts-de-France,,À temps plein,5.0,0.0,SB2O,10 avenue Henri Matisse,59300,AULNOY-LEZ-VALENCIENNES,http://www.sb2o.com/, Moins de 10 salarié(e)s ,Oui,Groupe V2R,Maîtrise d'ouvrage ,Chargée de missions en hydrogéologie,Non,"Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques",,,,25896.0,Non,25896.0,NON,NON,,OUI,Non,Quotidiennement,Très rarement,Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,L'adéquation avec un projet professionnel ,oui,oui,5.0,4.0,5.0,4.0,3.0,3.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,4.0,,,,Oui,Oui
Femme,1759195102887890,Oui,,2020,Sous contrat de professionalisation,,Non,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),12.0,En France,Auvergne-Rhône-Alpes,,À temps plein,5.0,0.0,Nigay,,42110,Feurs,,250 à  4 999 salarié(e)s ,Non,,Amélioration continue ,Assistante amélioration continue ,Non,Industrie agroalimentaire ,,,,26000.0,Oui,30000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,,Stage année césure / Contrat de professionnalisation,Les perspectives de carrière dans cette entreprise,oui,oui,4.0,4.0,5.0,3.0,4.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Difficulté dans l'entreprise d'apprentissage,4.0,,,,Non,Oui
Homme,1882454961231850,Non,Brésilienne,2018,Formation initiale (hors apprentissage),,Non,Microélectronique Et Automatique (MEA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,A l'étranger,,Brésil,À temps plein,30.0,4.0,ACTIA Group,Toulouse (headquarters) et Porto Alegre (BR),90180161,,http://www.actia.com,250 à  4 999 salarié(e)s ,Oui,Actia Group,Commercial(e) (dont ingénieur(e) d'affaire) ,Coordinateur Commerciale,Non,"Industrie automobile, aéronautique, navale, ferroviaire",,C,,26000.0,Oui,30000.0,OUI,OUI,OUI,OUI,Oui,Souvent (plusieurs heures par semaine),Quotidiennement,,Candidature spontannée,Le secteur d'activité de l'entreprise,oui,oui,4.0,4.0,5.0,5.0,5.0,4.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Missions modifiées,5.0,,,,Oui,Oui
Femme,1793840354015260,Oui,,2020,Formation initiale (hors apprentissage),,Non,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),6.0,En France,Bretagne,,À temps plein,1.0,2.0,Lactalis Nutrition Santé,Parc d'activités de Torcé ,35370,Torcé,https://www.taranis-nutrition.com,De 50 à 249 salarié(e)s ,Oui,Groupe Lactalis,Marketing,Assistante marketing,Non,Industrie agroalimentaire ,,,,26400.0,Non,26400.0,NON,OUI,NON,OUI,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),De 4 à moins de 5 mois,stage de fin d'études,Les perspectives de carrière dans cette entreprise,non,oui,4.0,4.0,5.0,3.0,3.0,3.0,5.0,Oui,Actuellement Contrat CDD de 6 mois ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,"Moins de propositions de recrutement|Moins d'offres d'emploi|""Acceptation d'un poste ne correspondant pas à mon diplôme """,5.0,,,,Oui,Oui
Femme,1888486991617230,Oui,,2018,Sous contrat de professionalisation,,Non,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,À temps plein,29.0,3.0,Florette,ZI la petite Marine ,84800,l'Isle sur la Sorgue,,250 à  4 999 salarié(e)s ,Oui,Agrial,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chef de projet développement et innovation,Non,Industrie agroalimentaire ,,,,26400.0,Oui,29600.0,OUI,NON,NON,OUI,Non,Quotidiennement,Très rarement,,Stage année césure / Contrat de professionnalisation,Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,5.0,3.0,5.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail,4.0,,,,,Oui
