"identifiant","remuneration_annuelle_brute","sexe","date_diplome","filiere","nationalite_francaise","nationalite","prime","remuneration_prime","remuneration_annuelle_brute_hors_prime_premier_emploi","prime_premier_emploi","remuneration_annuelle_brute_avec_prime_premier_emploi","nationalite_grouped"
"1768183496273810",36333.3333333333,"Homme",2020,"IG","Oui","1","Non",36333.3333333333,NA,"",NA,"1"
"1768183497095870",41500,"Homme",2021,"EGC-app","Oui","1","",52000,NA,"",NA,"1"
"1768183505228300",31000,"Homme",2019,"MAT","Oui","1","Non",31000,NA,"",NA,"1"
"1768183506095160",29114.6666666667,"Homme",2019,"MEA","Oui","1","",29114.6666666667,29076,"",29076,"1"
"1768183507034030",26556,"Homme",2021,"MAT","Oui","1","",26556,NA,"",NA,"1"
"1768183587378060",34350,"Homme",2020,"MAT","Oui","1","",36900,NA,"",NA,"1"
"1768183587449460",33600,"Homme",2019,"MI","Oui","1","Non",33600,34800,"",34800,"1"
"1768183597444170",38666.6666666667,"Homme",2019,"MEA","Oui","1","Non",40000,36500,"",37000,"1"
"1768183682286130",31000,"Homme",2018,"MEA","Oui","1","Non",31000,NA,"",NA,"1"
"1768183686766870",32800,"Homme",2017,"MAT","Oui","1","",35800,NA,"",NA,"1"
"1768183687743880",23170,"Homme",2020,"STE","Oui","1","",23170,NA,"",NA,"1"
"1768367355289050",37000,"Homme",2021,"IG","Oui","1","Non",37000,NA,"",NA,"1"
"1768453733098370",34307.5,"Homme",2017,"MEA","Non","25","Non",34307.5,NA,"",NA,"25"
"1768459845002980",27250,"Femme",2017,"IG","Non","14","Non",28100,28000,"Non",28000,"14"
"1768466560960410",16900,"Femme",2018,"GBA","","1","Non",16900,NA,"",NA,"1"
"1768549695730200",33500,"Homme",2020,"MEA","Oui","1","",35000,33000,"",33000,"1"
"1768549780066770",33800,"Homme",2020,"EGC-app","Oui","1","Oui",37833.3333333333,NA,"",NA,"1"
"1768549870441810",37000,"Homme",2020,"GBA","Oui","1","",44400,NA,"",NA,"1"
"1768549879167250",32000,"Homme",2017,"EGC-app","Oui","1","Oui",34500,30000,"",32000,"1"
"1768549883109980",39333.3333333333,"Homme",2020,"IG","Oui","1","Non",41000,NA,"",NA,"1"
"1768549960994340",35112.5,"Homme",2018,"EGC-app","Oui","1","Oui",37637.5,NA,"",NA,"1"
"1768555977764870",38000,"Homme",2018,"MAT","Oui","1","Oui",39500,NA,"",NA,"1"
"1768989176927280",25800,"Homme",2020,"MAT","Oui","1","",25800,NA,"",NA,"1"
"1769007709059690",39000,"Homme",2018,"MI","Oui","1","",39000,NA,"",NA,"1"
"1769007803921480",33733.3333333333,"Homme",2020,"IG","Oui","1","Oui",34358.3333333333,NA,"",NA,"1"
"1769007890066910",37500,"Homme",2020,"MI","Oui","1","",40750,NA,"",NA,"1"
"1769008063805780",37000,"Homme",2018,"IG","Oui","1","Non",38500,34000,"",34000,"1"
"1775257595835560",11908.5,"Homme",2019,"MEA","Non","Autre","",11908.5,20112,"",20112,"Autre"
"1775261297609710",33400,"Femme",2017,"MI","Oui","1","Oui",34330,23280,"",25220,"1"
"1775263662780760",28169.3333333333,"Femme",2020,"MAT","Oui","1","Oui",28836,32000,"",34000,"1"
"1775263739634360",30000,"Femme",2019,"EGC-app","Oui","1","",30000,NA,"",NA,"1"
"1775263748033210",30000,"Homme",2020,"MAT","Oui","1","",30000,17280,"",19680,"1"
"1775263820111760",33100,"Femme",2021,"MEA","","1","Oui",36000,NA,"",NA,"1"
"1775263824687930",41000,"Homme",2020,"MSI-app","Oui","1","Oui",44000,NA,"",NA,"1"
"1775264515647930",38000,"Femme",2021,"STE","Oui","1","",38000,NA,"",NA,"1"
"1775264733646980",33800,"Femme",2020,"STE","Oui","1","Oui",37133.3333333333,NA,"",NA,"1"
"1775265351539410",29400,"Femme",2017,"STE","Oui","1","",30870,NA,"",NA,"1"
"1775270642923870",31380,"Homme",2020,"IG","Oui","1","Oui",34695,NA,"",NA,"1"
"1775335295742820",46000,"Femme",2018,"MEA","Non","35","Oui",48000,NA,"",NA,"35"
"1775345181363770",35000,"Homme",2019,"MEA","Oui","1","",35000,NA,"",NA,"1"
"1775408658415940",21770,"Femme",2017,"GBA","Oui","1","",21770,NA,"",NA,"1"
"1775413776498840",35333.3333333333,"Femme",2019,"GBA","Oui","1","Oui",36833.3333333333,NA,"",NA,"1"
"1775413928705090",39000,"Femme",2019,"GBA","Oui","1","Non",39000,39000,"",39000,"1"
"1775413930916400",31500,"Femme",2019,"IG","Oui","1","Oui",36000,36000,"",36000,"1"
"1775416913436200",24588,"Femme",2020,"GBA","Oui","1","Oui",26988,29000,"",29000,"1"
"1775419208131070",39000,"Homme",2018,"MEA","Oui","1","Oui",42250,NA,"",NA,"1"
"1775426942739380",61000,"Homme",2019,"IG","Oui","1","Non",61000,NA,"",NA,"1"
"1775427164460220",32000,"Homme",2021,"SE-app","Oui","1","Oui",34500,NA,"",NA,"1"
"1775485178515470",39250,"Homme",2018,"IG","Oui","1","Oui",40750,31500,"",32500,"1"
"1775503115236440",31000,"Homme",2019,"SE-app","Oui","1","Oui",34702,NA,"",NA,"1"
"1775503193890190",30815,"Homme",2017,"IG","Oui","1","Oui",32110,NA,"",NA,"1"
"1775503433566090",23100,"Homme",2019,"STE","Oui","1","",24100,18600,"",18600,"1"
"1775569781638920",29544,"Homme",2019,"IG","Non","Autre","Oui",32004,NA,"",NA,"Autre"
"1775569793727760",31000,"Femme",2019,"MAT","Oui","1","Non",31000,NA,"",NA,"1"
"1775569932483610",73600,"Homme",2017,"GBA","Oui","1","Oui",85000,NA,"",NA,"1"
"1775570466040350",35400,"Homme",2021,"MAT","Oui","1","",41000,NA,"",NA,"1"
"1775570479028540",40000,"Homme",2019,"STE","Oui","1","Oui",40000,NA,"",NA,"1"
"1775574132888890",47500,"Homme",2018,"MAT","Oui","1","Oui",49250,NA,"",NA,"1"
"1775574138224740",55000,"Homme",2018,"IG","Oui","1","Oui",60000,NA,"",NA,"1"
"1775637568774260",27500,"Femme",2019,"MEA","Oui","1","Oui",27750,27000,"",27500,"1"
"1775640549596370",40000,"Homme",2021,"MAT","Oui","1","Oui",48500,NA,"",NA,"1"
"1775643742622870",36000,"Femme",2020,"MAT","Oui","1","",40000,NA,"",NA,"1"
"1775713758266800",35650,"Homme",2020,"MEA","Oui","1","Non",36250,NA,"",NA,"1"
"1775789449534080",34333.3333333333,"Homme",2019,"MEA","Non","35","Oui",37766.6666666667,31200,"",31500,"35"
"1775789583055560",37500,"Homme",2021,"MEA","Oui","1","Non",37500,36000,"",36000,"1"
"1775865280286940",33000,"Homme",2021,"MEA","Oui","1","Oui",38000,NA,"",NA,"1"
"1775873539752900",37833.3333333333,"Homme",2020,"IG","Oui","1","Non",39000,30000,"",33000,"1"
"1775874295172510",37500,"Femme",2017,"MI","Oui","1","Oui",42125,35000,"",45000,"1"
"1775874372476520",42250,"Homme",2019,"MEA","Oui","1","Non",43000,NA,"",NA,"1"
"1775947055237320",25092,"Homme",2021,"MI","Oui","1","Oui",27601,27000,"",27000,"1"
"1775951424215310",39166.6666666667,"Homme",2019,"IG","Oui","1","Non",40166.6666666667,NA,"",NA,"1"
"1775951427991600",30500,"Homme",2019,"IG","Oui","1","Oui",32999.5,NA,"",NA,"1"
"1775951503420270",24300,"Homme",2017,"STE","Oui","1","Non",24300,24000,"",24000,"1"
"1775955957977140",27534.3333333333,"Femme",2020,"GBA","Oui","1","Oui",30000,NA,"",NA,"1"
"1775955960243890",45300,"Femme",2018,"IG","Oui","1","Oui",48500,NA,"",NA,"1"
"1775955964081440",35400,"Homme",2021,"EGC-app","Oui","1","Oui",41000,NA,"",NA,"1"
"1775955967798490",34900,"Femme",2020,"STE","Oui","1","Oui",34900,NA,"",NA,"1"
"1775956035087940",35346.6666666667,"Femme",2019,"IG","Oui","1","Oui",39126.6666666667,NA,"",NA,"1"
"1775956046429000",36250,"Femme",2018,"GBA","Oui","1","Non",38250,NA,"",NA,"1"
"1775956121915440",26666.6666666667,"Femme",2019,"GBA","Oui","1","Non",28333.3333333333,22200,"",23100,"1"
"1775956183971460",31200,"Femme",2021,"MEA","Oui","1","Non",33700,NA,"",NA,"1"
"1776019526187560",75466.6666666667,"Homme",2019,"IG","Oui","1","Non",78800,NA,"",NA,"1"
"1776091591635030",37500,"Femme",2017,"GBA","Oui","1","Oui",39500,31000,"",34000,"1"
"1776091807833230",31600,"Femme",2021,"GBA","Oui","1","Oui",34900,NA,"",NA,"1"
"1776091815313030",33200,"Femme",2019,"IG","Oui","1","Oui",33500,33200,"",33500,"1"
"1776091895895960",30100,"Femme",2020,"GBA","Oui","1","Oui",33550,NA,"",NA,"1"
"1776091965937530",34842.5,"Femme",2018,"GBA","Oui","1","Oui",39975,NA,"",NA,"1"
"1776091965996580",34680,"Femme",2020,"MSI-app","Oui","1","Oui",35680,NA,"",NA,"1"
"1776091968227540",25200,"Femme",2017,"STE","Oui","1","",27800,NA,"",NA,"1"
"1776094903038990",30061,"Femme",2017,"STE","Oui","1","",33614,NA,"",NA,"1"
"1776102122857150",31500,"Homme",2019,"STE","Oui","1","",38000,NA,"",NA,"1"
"1776102123724400",32400,"Femme",2017,"MAT","Oui","1","Oui",35100,33600,"",36400,"1"
"1776102214054560",32664,"Homme",2017,"MEA","Oui","1","Oui",35372,NA,"",NA,"1"
"1776102217021450",37550,"Homme",2019,"IG","Oui","1","Oui",40300,NA,"",NA,"1"
"1776102353371030",32333.3333333333,"Homme",2019,"MAT","Oui","1","Oui",33333.3333333333,32000,"",33000,"1"
"1776102362293300",40800,"Homme",2020,"MAT","Oui","1","Oui",44200,41200,"",45300,"1"
"1776102424878110",27150,"Homme",2018,"MEA","Oui","1","Oui",29000,25000,"",30000,"1"
"1776102501602960",34500,"Homme",2018,"EGC-app","Oui","1","Oui",39000,24000,"Non",24000,"1"
"1776106574024290",42500,"Homme",2021,"IG","Oui","1","Oui",42500,35000,"",35000,"1"
"1776106641864830",33333.3333333333,"Homme",2020,"EGC-app","Oui","1","Oui",34333.3333333333,NA,"",NA,"1"
"1776106717098990",30666.6666666667,"Homme",2019,"MEA","Oui","1","Oui",31333.3333333333,NA,"",NA,"1"
"1776106723950220",35510,"Homme",2020,"STE","Oui","1","Oui",38833.3333333333,NA,"",NA,"1"
"1776106790932630",31500,"Homme",2021,"MEA","Oui","1","Oui",32500,NA,"",NA,"1"
"1776106799883870",35500,"Femme",2020,"MAT","Oui","1","Oui",38900,35500,"",38000,"1"
"1776106802247870",27049,"Femme",2019,"EGC-app","Oui","1","Oui",27549,NA,"",NA,"1"
"1776106806689780",37392,"Homme",2020,"EGC-app","Oui","1","Oui",41250,NA,"",NA,"1"
"1776106867791450",35250,"Homme",2021,"MI","Oui","1","Non",36000,NA,"",NA,"1"
"1776106868424380",22000,"Homme",2021,"MI","Oui","1","",22000,NA,"",NA,"1"
"1776106871435680",36500,"Homme",2019,"EGC-app","Oui","1","Non",37250,37500,"",39000,"1"
"1776106879687360",39181.3333333333,"Homme",2020,"IG","Oui","1","Non",45514.6666666667,36000,"",36000,"1"
"1776107021330320",44000,"Homme",2020,"IG","","1","",44000,29000,"Non",29000,"1"
"1776166903795880",38500,"Femme",2019,"GBA","Oui","1","Oui",42500,NA,"",NA,"1"
"1776166903900530",36080,"Femme",2021,"MEA","Oui","1","Oui",38822,NA,"",NA,"1"
"1776166906953760",36333.3333333333,"Homme",2020,"MI","Oui","1","Non",37333.3333333333,35000,"",35000,"1"
"1776166914449430",31200,"Femme",2019,"EGC-app","Oui","1","Oui",33800,NA,"",NA,"1"
"1776166978376740",30000,"Femme",2020,"GBA","Oui","1","Non",30000,NA,"Non",NA,"1"
"1776166979781670",78000,"Femme",2020,"MEA","Non","Autre","",78000,30600,"",30600,"Autre"
"1776166991066590",25980,"Femme",2018,"GBA","Oui","1","Oui",28000,NA,"",NA,"1"
"1776166991759020",32500,"Femme",2021,"MEA","Oui","1","Non",32500,NA,"",NA,"1"
"1776167053468420",38000,"Femme",2020,"GBA","Oui","1","Oui",40000,38000,"",39000,"1"
"1776167055017630",35666.6666666667,"Femme",2020,"GBA","Oui","1","Oui",38333.3333333333,NA,"",NA,"1"
"1776167057227520",30000,"Femme",2019,"MAT","Oui","1","",30000,NA,"",NA,"1"
"1776167060979250",63000,"Femme",2020,"SE-app","Oui","1","",63000,NA,"",NA,"1"
"1776167061760460",36866.6666666667,"Femme",2020,"SE-app","Oui","1","Non",36866.6666666667,NA,"",NA,"1"
"1776167064812550",40000,"Femme",2018,"GBA","Oui","1","",40000,NA,"",NA,"1"
"1776167130842340",32000,"Femme",2021,"GBA","Oui","1","",34666,NA,"",NA,"1"
"1776167142122940",32974,"Femme",2020,"IG","Oui","1","Oui",37346,NA,"",NA,"1"
"1776167142926850",28600,"Femme",2018,"STE","Oui","1","Oui",31000,31000,"",31000,"1"
"1776170062868870",40500,"Homme",2019,"IG","Oui","1","Non",40500,NA,"",NA,"1"
"1776170139518960",33500,"Homme",2018,"IG","Oui","1","Oui",35000,NA,"",NA,"1"
"1776170214132840",26400,"Homme",2021,"STE","Oui","1","Oui",36341,NA,"",NA,"1"
"1776177653526070",32200,"Homme",2020,"MEA","Non","25","Non",33533.3333333333,30000,"",31500,"25"
"1776242025600950",31525,"Femme",2019,"MI","Oui","1","Non",31525,31800,"",31800,"1"
"1776242171172240",46250,"Homme",2019,"MEA","Oui","1","Oui",51000,NA,"",NA,"1"
"1776391941006830",35000,"Femme",2021,"IG","Oui","1","Oui",38000,NA,"",NA,"1"
"1776394941678550",28000,"Homme",2021,"STE","Oui","1","Non",28000,NA,"",NA,"1"
"1776541346524700",38000,"Homme",2021,"IG","Oui","1","",45000,NA,"",NA,"1"
"1776541355574440",31750,"Homme",2018,"IG","Oui","1","Non",33000,NA,"",NA,"1"
"1776551644056160",32000,"Homme",2021,"MAT","Oui","1","",34000,NA,"",NA,"1"
"1776551784277790",32000,"Homme",2017,"MAT","Oui","1","",33500,NA,"",NA,"1"
"1776551862423230",21600,"Homme",2017,"GBA","Oui","1","Non",21600,NA,"Non",NA,"1"
"1776551931058330",30000,"Homme",2020,"STE","Oui","1","Oui",33000,NA,"",NA,"1"
"1776551933190300",33600,"Homme",2020,"MAT","Oui","1","",35000,NA,"",NA,"1"
"1776615757693250",35625,"Femme",2021,"GBA","Oui","1","Oui",46350,37050,"",45000,"1"
"1776615819557690",36500,"Femme",2020,"MSI-app","Oui","1","",36500,NA,"",NA,"1"
"1776615827637770",34104,"Femme",2017,"GBA","Oui","1","",38500,NA,"",NA,"1"
"1776615967624050",36250,"Femme",2021,"GBA","Oui","1","Oui",37250,NA,"",NA,"1"
"1776621549469460",28000,"Homme",2019,"MAT","Oui","1","Oui",29000,28000,"",30500,"1"
"1776621626696670",36750,"Homme",2021,"IG","Oui","1","Oui",38250,NA,"",NA,"1"
"1776621629701940",37000,"Homme",2020,"MSI-app","Oui","1","",37000,NA,"",NA,"1"
"1776621631160250",34000,"Homme",2018,"MAT","Oui","1","Oui",34500,NA,"",NA,"1"
"1776621772644070",34000,"Homme",2021,"EGC-app","Oui","1","Oui",35250,NA,"",NA,"1"
"1776621853639030",25500,"Homme",2019,"MEA","Oui","1","Oui",27081.3333333333,22812,"",22812,"1"
"1776621858821210",29000,"Homme",2017,"IG","Oui","1","Non",29000,26790,"",26790,"1"
"1776626247486660",22500,"Femme",2017,"GBA","Oui","1","Oui",22500,NA,"",NA,"1"
"1776629965327550",26250,"Homme",2017,"STE","Oui","1","Oui",27750,NA,"",NA,"1"
"1776693137616810",30000,"Homme",2020,"EGC-app","Oui","1","Non",30000,NA,"",NA,"1"
"1776695289443830",37333.3333333333,"Femme",2019,"IG","Oui","1","Non",38000,NA,"",NA,"1"
"1776695376937730",26500,"Femme",2021,"GBA","Oui","1","Oui",28550,NA,"",NA,"1"
"1776844335602450",35000,"Homme",2019,"MI","Non","Autre","Oui",37000,33000,"",37500,"Autre"
"1777059846996580",31500,"Homme",2017,"MAT","Oui","1","Non",32000,NA,"",NA,"1"
"1777070239467270",33120,"Homme",2018,"IG","Oui","1","Non",33120,33000,"Non",33000,"1"
"1777070378739680",43500,"Homme",2019,"MEA","Non","25","Oui",45000,32500,"Non",32500,"25"
"1782326405841550",40100,"Homme",2018,"MEA","Non","35","Oui",44000,NA,"",NA,"35"
"1782327052505070",35000,"Homme",2019,"MI","Oui","1","Non",36500,33000,"",33000,"1"
"1782327052506100",35500,"Homme",2019,"MEA","Oui","1","Non",36000,NA,"",NA,"1"
"1782327060256290",36350,"Homme",2018,"MI","Oui","1","Oui",41500,NA,"",NA,"1"
"1782327117638330",0,"Homme",2020,"MSI-app","Oui","1","",0,32000,"Non",32000,"1"
"1782327180969030",31975,"Homme",2021,"IG","Oui","1","Oui",32225,NA,"",NA,"1"
"1782327184883430",32500,"Homme",2018,"SE-app","Oui","1","Non",32500,NA,"",NA,"1"
"1782328885671700",31800,"Femme",2017,"STE","Oui","1","Non",32500,30000,"",30000,"1"
"1782328943040360",22200,"Femme",2020,"MI","Oui","1","Non",22200,23000,"Non",23000,"1"
"1782332138922440",66500,"Homme",2021,"IG","Oui","1","Non",66500,NA,"",NA,"1"
"1782332204749330",30000,"Homme",2019,"MEA","Oui","1","Oui",32500,NA,"",NA,"1"
"1782332205420030",33333.3333333333,"Homme",2019,"STE","Oui","1","Oui",33333.3333333333,NA,"",NA,"1"
"1782332208663190",39000,"Homme",2021,"SE-app","Oui","1","Oui",40500,36000,"",38000,"1"
"1782332211989640",37333.3333333333,"Homme",2019,"EGC-app","Oui","1","Non",49666.6666666667,NA,"",NA,"1"
"1782332213856140",34560,"Femme",2017,"GBA","Oui","1","Oui",35000,35000,"",37000,"1"
"1782332269386920",47500,"Homme",2018,"IG","Oui","1","Oui",47500,43500,"Oui",60000,"1"
"1782332270607280",24000,"Homme",2021,"MI","Oui","1","Non",24000,23000,"",23000,"1"
"1782332281044560",30000,"Homme",2020,"IG","Oui","1","",30000,NA,"",NA,"1"
"1782332336322280",30000,"Femme",2020,"STE","Oui","1","Non",30000,NA,"",NA,"1"
"1782333524403100",36558.3333333333,"Homme",2019,"EGC-app","Oui","1","",38091.6666666667,NA,"",NA,"1"
"1782333585791780",19200,"Homme",2021,"IG","Non","Autre","Non",19800,14400,"",15600,"Autre"
"1782333639900130",24100,"Femme",2020,"GBA","Oui","1","Oui",26300,NA,"",NA,"1"
"1782333711561350",55359.5,"Femme",2020,"IG","Oui","1","Non",55359.5,NA,"",NA,"1"
"1782335932003810",33300,"Homme",2018,"MSI-app","Oui","1","Oui",39100,NA,"",NA,"1"
"1782336060520780",35500,"Homme",2021,"MEA","Oui","1","Non",36500,NA,"",NA,"1"
"1782336119224670",52270,"Homme",2017,"MEA","Oui","1","Non",52270,32500,"",32500,"1"
"1782336121852570",32400,"Homme",2020,"MSI-app","Oui","1","",35300,NA,"",NA,"1"
"1782336127638740",32500,"Homme",2017,"MEA","Oui","1","Non",32500,NA,"",NA,"1"
"1782336190229570",33953.3333333333,"Homme",2019,"MEA","Oui","1","Oui",34620,NA,"",NA,"1"
"1782336255547400",36106.6666666667,"Homme",2020,"EGC-app","Oui","1","Oui",39006.6666666667,NA,"",NA,"1"
"1782336321386440",42500,"Homme",2020,"MAT","Oui","1","",49500,NA,"",NA,"1"
"1782338086315260",31150,"Femme",2020,"IG","Oui","1","Oui",38000,NA,"",NA,"1"
"1782338205765760",33000,"Femme",2021,"MAT","Non","1","",33000,25000,"Oui",25000,"1"
"1782340107568330",25200,"Femme",2019,"GBA","Oui","1","Non",26350,23000,"",24000,"1"
"1782390418773570",29000,"Homme",2020,"MSI-app","Oui","1","",45000,NA,"",NA,"1"
"1782392903986310",34533.3333333333,"Homme",2020,"SE-app","Oui","1","Oui",36666.6666666667,NA,"",NA,"1"
"1782392958743850",36500,"Homme",2021,"SE-app","Oui","1","Oui",37350,NA,"",NA,"1"
"1782455451807660",23300,"Femme",2017,"STE","Oui","1","Oui",25950,23000,"",26000,"1"
"1782455519326140",30250,"Femme",2017,"MEA","Oui","1","Non",30250,NA,"",NA,"1"
"1782459883226080",37500,"Femme",2020,"MAT","Oui","1","Oui",39000,38000,"",38000,"1"
"1782462472987090",32000,"Femme",2020,"GBA","Oui","1","Oui",35500,NA,"",NA,"1"
"1782462477656350",36000,"Femme",2020,"GBA","Oui","1","",37000,NA,"",NA,"1"
"1782462668826500",30000,"Femme",2017,"GBA","Oui","1","Oui",32750,30000,"",34000,"1"
"1782464366155500",30000,"Femme",2017,"IG","Oui","1","Oui",30500,NA,"",NA,"1"
"1782464424713140",35500,"Femme",2020,"MAT","Oui","1","",41500,NA,"",NA,"1"
"1782464491724120",25100,"Femme",2020,"STE","Oui","1","",26950,NA,"",NA,"1"
"1782520259462620",39666.6666666667,"Homme",2020,"IG","Oui","1","Non",42666.6666666667,32000,"",32000,"1"
"1782529474340130",28800,"Homme",2020,"MAT","Oui","1","",32339,NA,"",NA,"1"
"1782529477607550",35200,"Homme",2019,"MI","Oui","1","Non",35200,NA,"",NA,"1"
"1782529613883350",35250,"Homme",2019,"MEA","Oui","1","Non",36750,31500,"",31500,"1"
"1782588592603190",47666.6666666667,"Homme",2019,"MSI-app","Oui","1","Non",47666.6666666667,NA,"",NA,"1"
"1782592364663810",30300,"Femme",2017,"GBA","Oui","1","Oui",33215,NA,"",NA,"1"
"1782592418482250",22000,"Femme",2020,"STE","Oui","1","Non",33000,30000,"Non",30000,"1"
"1782593075378550",34500,"Homme",2017,"MAT","Oui","1","Oui",48000,NA,"",NA,"1"
